mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
1077,"45.1938348032078,5.73205406097573",3,nouveau modèle,20120101000000,45.1938348032078,5.73205406097573,POINT (638089.3392673342 5652088.601547338),8.660254037844386
1078,"45.1928671408941,5.73286350715094",2,nouveau modèle,20120101000000,45.1928671408941,5.73286350715094,POINT (638179.446403383 5651935.746223924),7.0710678118654755
1079,"45.1917656087071,5.72432152402717",3,nouveau modèle,19900101000000,45.1917656087071,5.72432152402717,POINT (637228.5571916802 5651761.747510285),8.660254037844386
1080,"45.1887062115942,5.71986842264996",3,nouveau modèle,20120101000000,45.1887062115942,5.71986842264996,POINT (636732.8402139185 5651278.500892517),8.660254037844386
1081,"45.1886815246052,5.72017828725291",6,nouveau modèle,19900101000000,45.1886815246052,5.72017828725291,POINT (636767.3341837338 5651274.601568472),12.24744871391589
1082,"45.1886373500822,5.72078175070135",4,nouveau modèle,19900101000000,45.1886373500822,5.72078175070135,POINT (636834.5114275264 5651267.624181494),10.0
1083,"45.1886200321441,5.72098922773554",1,nouveau modèle,19900101000000,45.1886200321441,5.72098922773554,POINT (636857.6076653237 5651264.888806389),5.0
1084,"45.1982878666087,5.74206216320529",3,nouveau modèle,20120101000000,45.1982878666087,5.74206216320529,POINT (639203.4361113358 5652792.056519888),8.660254037844386
1085,"45.1891036422137,5.72295846888338",4,nouveau modèle,20120101000000,45.1891036422137,5.72295846888338,POINT (637076.8225871505 5651341.27551917),10.0
1086,"45.1876716024078,5.73410969864774",2,nouveau modèle,20120101000000,45.1876716024078,5.73410969864774,POINT (638318.1718062378 5651115.085228929),7.0710678118654755
1087,"45.1913798416105,5.72496851887765",4,nouveau modèle,20120101000000,45.1913798416105,5.72496851887765,POINT (637300.5803289816 5651700.812294489),10.0
1088,"45.1750363364281,5.74150883601976",3,nouveau modèle,20060101000000,45.1750363364281,5.74150883601976,POINT (639141.8400108005 5649119.595027449),8.660254037844386
